anthropic_task_description,api_usage_count,onet_soc_code,onet_task_id,onet_task_description,onet_task_type,onet_occupation_title,onet_occupation_description,match_method,match_score,Job Zone,typical_education,typical_education_pct,task_importance,task_relevance,dwa_ids,dwa_titles,iwa_ids,nonroutine_cognitive_analytical,nonroutine_cognitive_interpersonal,nonroutine_manual,nonroutine_total
"apply relevant laws, regulations, policies, or precedents to reach conclusions.",23.0,23-1022.00,20238.0,"Apply relevant laws, regulations, policies, or precedents to reach conclusions.",Core,"Arbitrators, Mediators, and Conciliators",Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of parties involved.,exact,100.0,5,10.0,36.84,4.63,100.0,4.A.2.a.4.I08.D01; 4.A.2.b.1.I05.D01,Identify implications for cases from legal precedents or other legal information.; Make decisions in legal cases.,4.A.2.a.4.I08; 4.A.2.b.1.I05,0.7423312883435583,0.30377668308702793,0.09399477806788509,0.36559888579387206
"maintain and update human resources documents, such as organizational charts, employee handbooks or directories, or performance evaluation forms.",23.0,13-1071.00,18863.0,"Maintain and update human resources documents, such as organizational charts, employee handbooks or directories, or performance evaluation forms.",Core,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",exact,100.0,4,6.0,46.59,4.0,76.34,4.A.3.b.6.I08.D09,"Maintain records, documents, or other files.",4.A.3.b.6.I08,0.5276073619631902,0.651888341543514,0.1723237597911227,0.4575208913649025
"assign and review the work of systems analysts, programmers, and other computer-related workers.",23.0,11-3021.00,969.0,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",exact,100.0,4,6.0,47.68,4.04,92.97,4.A.2.a.1.I04.D04,Evaluate employee performance.,4.A.2.a.1.I04,0.7131901840490799,0.7274220032840724,0.24543080939947778,0.6128133704735379
assist in selection of financial award candidates using electronic databases to certify loan eligibility.,22.0,13-2072.00,21635.0,Assist in selection of financial award candidates using electronic databases to certify loan eligibility.,,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",exact,100.0,4,6.0,68.74,,,4.A.2.a.2.I05.D03,Verify application data to determine program eligibility.,4.A.2.a.2.I05,0.6656441717791411,0.5517241379310346,0.16971279373368145,0.47632311977715897
"perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules.",22.0,43-2011.00,20427.0,"Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules.",Core,"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.",exact,100.0,2,2.0,88.55,3.95,94.77,4.A.2.a.3.I01.D08; 4.A.4.c.1.I01.D07,"Proofread documents, records, or other files to ensure accuracy.; Type documents.",4.A.2.a.3.I01; 4.A.4.c.1.I01,0.1595092024539878,0.26600985221674883,0.03394255874673626,0.05292479108635109
locate and obtain existing geographic information databases.,22.0,19-3092.00,5506.0,Locate and obtain existing geographic information databases.,Core,Geographers,"Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.",exact,100.0,4,6.0,45.0,3.79,95.0,4.A.1.a.1.I04.D08,Collect archival data.,4.A.1.a.1.I04,0.8282208588957056,0.4597701149425288,0.2506527415143603,0.5543175487465182
"assign, coordinate, and review work and activities of programming personnel.",22.0,15-1251.00,1279.0,"Assign, coordinate, and review work and activities of programming personnel.",Core,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",exact,100.0,4,6.0,88.04,3.22,70.93,4.A.4.b.4.I01.D07; 4.A.4.b.4.I06.D07; 4.A.4.b.4.I13.D06,Assign duties or work schedules to employees.; Manage information technology projects or system activities.; Supervise information technology personnel.,4.A.4.b.4.I01; 4.A.4.b.4.I06; 4.A.4.b.4.I13,0.8726993865030674,0.41871921182266014,0.16971279373368145,0.5139275766016714
"examine theories, such as those of probability and inference, to discover mathematical bases for new or improved methods of obtaining and evaluating numerical data.",22.0,15-2041.00,8967.0,"Examine theories, such as those of probability and inference, to discover mathematical bases for new or improved methods of obtaining and evaluating numerical data.",Core,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",exact,100.0,5,8.0,61.9,3.42,90.48,4.A.2.b.3.I01.D07,Update knowledge about emerging industry or technology trends.,4.A.2.b.3.I01,0.8849693251533742,0.48440065681445005,0.09399477806788509,0.5069637883008357
teach or supervise students and perform research at universities and colleges.,22.0,19-1029.04,185.0,Teach or supervise students and perform research at universities and colleges.,Supplemental,Biologists,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",exact,100.0,5,8.0,56.93,3.45,43.58,4.A.4.b.3.I02.D09,Instruct college students in physical or life sciences.,4.A.4.b.3.I02,0.8726993865030674,0.6502463054187193,0.402088772845953,0.7360724233983289
"examine blueprints, drawings, work orders, or patterns to determine equipment set-up or selection details, procedures to be used, or dimensions of final products.",22.0,51-7041.00,12267.0,"Examine blueprints, drawings, work orders, or patterns to determine equipment set-up or selection details, procedures to be used, or dimensions of final products.",Supplemental,"Sawing Machine Setters, Operators, and Tenders, Wood","Set up, operate, or tend wood sawing machines. May operate computer numerically controlled (CNC) equipment. Includes lead sawyers.",exact,100.0,2,2.0,59.25,4.04,45.57,4.A.1.a.1.I02.D04; 4.A.1.a.1.I02.D06; 4.A.1.a.1.I02.D11,Read work orders or other instructions to determine product specifications or materials requirements.; Review blueprints or other instructions to determine operational methods or sequences.; Study blueprints or other instructions to determine equipment setup requirements.,4.A.1.a.1.I02,0.18711656441717794,0.29392446633825947,0.8015665796344648,0.48676880222841235
"gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.",22.0,15-1244.00,1328.0,"Gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.",Core,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",exact,100.0,4,6.0,52.37,3.17,87.78,4.A.1.a.1.I14.D05; 4.A.2.a.4.I05.D05; 4.A.2.b.1.I08.D02,Analyze project data to determine specifications or requirements.; Collect data about customer needs.; Identify information technology project resource requirements.,4.A.1.a.1.I14; 4.A.2.a.4.I05; 4.A.2.b.1.I08,0.6042944785276072,0.24466338259441717,0.5456919060052219,0.5188022284122564
"evaluate job positions, determining classification, exempt or non-exempt status, and salary.",22.0,13-1141.00,3351.0,"Evaluate job positions, determining classification, exempt or non-exempt status, and salary.",Supplemental,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",exact,100.0,4,6.0,85.71,3.9,47.62,4.A.2.a.4.I07.D10,"Analyze jobs using observation, survey, or interview techniques.",4.A.2.a.4.I07,0.638036809815951,0.5418719211822661,0.12532637075718014,0.43593314763231206
